Name,Buy,Sell,Found Buy Prices,Found Sell Prices
abominable snowman mask,N/A,70,N/A,[70]
actual leprechaun hat,N/A,9,N/A,[9]
alaskan king crab crown,66,2022.4,[66],"[69, 5850, 64, 7350, 60, 6550, 83, 66, 65, 67]"
alpha's shawl,45,51.5,[45],"[70, 75, 60, 1]"
altair's hood,295,274.69,"[350, 240]","[300, 350, 250, 250, 250, 100, 300, 235, 341, 250, 320, 250, 250, 230, 290, 300, 280, 295, 300, 285, 270, 250, 240, 280, 230, 450, 240, 230, 350]"
angler mask,44,46.88,"[40, 40, 50, 40, 50]","[46, 46, 50, 65, 50, 50, 55, 45, 40, 40, 42, 40, 40, 55, 55, 40, 55, 40, 40, 60, 43, 50, 40, 45, 50, 45, 40, 50, 40, 40, 55, 44, 50, 45, 40, 60, 40, 55, 45, 45, 60, 40, 50, 43, 50, 50, 55, 50, 45, 50, 50, 45, 50, 50, 55, 45, 45, 40, 65, 45, 50, 45, 55, 50, 45, 42, 55, 40, 44, 50, 40, 50, 44, 50, 55, 45, 45, 40, 55, 45, 44, 45, 45, 45, 55, 42, 50, 40, 40, 45, 50, 40, 50, 55, 40, 40, 50, 44, 45, 45, 45, 45, 45, 35, 50, 50, 44, 35]"
antler hat,N/A,0.2,N/A,[0.2]
anubis mask,556.67,593.24,"[560, 560, 550]","[600, 580, 600, 575, 585, 575, 630, 580, 650, 550, 590, 575, 620, 600, 630, 560, 590, 590, 590, 590, 580, 580, 595, 595, 580, 630, 590, 610, 610, 610, 580, 570, 560, 560, 600, 600, 600, 630, 590, 620, 600, 590, 610, 650, 590, 604, 604, 610, 600, 585, 550, 550, 560, 575, 620, 590, 580, 590]"
architect's beret,N/A,3.8,N/A,"[2, 2, 10, 1, 4]"
aura antlers,469.14,691.18,"[7, 7, 730, 500, 710, 680, 650]","[730, 750, 565, 720, 680, 680, 600, 740, 730, 700, 700, 680, 690, 720, 680, 750, 560, 570, 730, 700, 610, 630, 660, 720, 740, 560, 710, 730, 700, 725, 670, 760, 760, 720, 745, 745, 576, 600, 760, 650, 735, 740, 560, 740, 575, 665, 725, 725, 820, 605, 670, 750, 730, 740, 735, 740, 690, 685, 730, 735, 660, 660, 730, 700, 660, 750, 600, 620, 700, 575, 750, 740, 570, 750, 720, 650, 750, 715, 715, 740, 700, 735, 740, 740, 560, 710, 605, 740, 715, 595, 720, 735, 710, 710, 755, 560, 730, 700, 600, 600, 700, 745, 745, 710, 565, 750, 750, 710, 740, 740, 695, 590, 720, 630, 590, 750, 650, 720, 745, 740]"
aviator fighter pilot hat,18,N/A,[18],N/A
b.o.o. helmet,N/A,0.52,N/A,"[1, 0.03333333333333333]"
baby seal hat,130,109,[130],"[75, 75, 110, 135, 150]"
backwards ballcap,1,1.62,"[1, 1, 1]","[2, 3, 1, 2, 2, 2, 1, 1, 2, 2, 2, 2, 1, 1, 2, 2, 2, 1, 1, 2, 1, 2, 1, 1]"
barbershop quartet hat,N/A,15.14,N/A,"[15, 15, 34, 15, 2, 10, 15]"
baseball cap,410.01,55.37,"[0.04, 40, 800, 800]","[0.02, 0.03333333333333333, 0.05, 0.05, 0.04, 0.03333333333333333, 0.02857142857142857, 0.05, 30, 0.02857142857142857, 0.03333333333333333, 0.03333333333333333, 0.05, 800, 0.04]"
bee hair pin,N/A,N/A,N/A,N/A
beowulf's helm,N/A,51.25,N/A,"[55, 48, 60, 45, 50, 50, 65, 42, 60, 50, 50, 40]"
black beret,0.1,2.17,"[0.06666666666666667, 0.16666666666666666, 0.0625]","[0.06666666666666667, 0.3333333333333333, 20, 0.14285714285714285, 0.14285714285714285, 6, 6, 1, 0.16666666666666666, 0.14285714285714285, 5, 0.16666666666666666, 5, 0.2, 12, 0.06666666666666667, 5, 0.25, 0.25, 5, 5, 0.16666666666666666, 0.16666666666666666, 1, 0.25, 0.25, 0.16666666666666666, 0.16666666666666666, 12, 12, 0.25, 0.16666666666666666, 0.3333333333333333, 0.16666666666666666, 12, 1, 1, 0.2, 0.3333333333333333, 0.25, 0.06666666666666667, 0.06666666666666667, 0.14285714285714285, 0.14285714285714285, 0.3333333333333333, 5, 0.5, 0.1111111111111111, 0.16666666666666666, 0.16666666666666666, 0.2, 0.3333333333333333, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.1, 0.1, 0.16666666666666666, 0.5, 0.5, 0.14285714285714285, 0.14285714285714285, 5, 0.1111111111111111, 0.1111111111111111, 0.125, 1, 0.2, 0.16666666666666666, 0.125, 0.1, 12, 15, 15, 0.14285714285714285, 0.14285714285714285, 12, 0.16666666666666666, 0.16666666666666666, 0.14285714285714285, 0.2, 0.2, 0.16666666666666666, 0.14285714285714285, 0.2, 12, 0.14285714285714285, 0.3333333333333333, 12, 0.2, 0.1, 0.1, 0.1, 0.16666666666666666, 1, 3, 0.125, 4, 0.25, 0.14285714285714285, 0.2, 2, 2]"
black cat ears,6.83,8.66,"[6, 7, 6, 8, 9, 5]","[8, 13, 16, 7, 9, 6, 10, 10, 8, 8, 10, 7, 7, 12, 6, 6, 8, 8, 10, 9, 10, 11, 9, 9, 9, 10, 7, 7, 7, 8, 8, 8, 6, 10, 6, 6, 11, 9, 7, 6, 6, 6, 11, 7, 8, 10, 10, 8, 8, 10, 10, 11, 10, 7, 8, 10, 10, 8, 8, 6, 8, 9, 10, 7, 8, 9, 15, 7, 8, 10, 12, 8, 8, 9, 8, 9, 9, 9, 5, 5, 9, 10, 12, 7, 7, 10, 8, 10, 10, 10, 8, 8, 10, 8, 8, 10, 11, 11, 9, 8, 11, 10, 6, 6, 11, 9, 7, 6, 9, 5, 10]"
blue hardhat,N/A,N/A,N/A,N/A
bowler bunny hat,N/A,76,N/A,"[75, 75, 75, 75, 80]"
brainflower,36,1818.73,[36],"[3680, 99, 37, 38, 51, 51, 4950, 39, 48, 35, 3450, 3450, 4950, 37, 38, 3700, 3550, 3550, 39, 3650, 3650, 41, 44, 3640, 3650, 3650, 3950, 3950, 48, 3780, 48, 3350, 53, 40, 3345, 37, 3450, 3550, 3550, 3780, 3600, 44, 39, 3510, 3510, 99, 37, 45, 39, 47, 48, 42, 42, 60, 60, 4950, 3450, 4600, 35]"
brainwave capacitor,30,0.06,[30],"[0.0625, 0.0625]"
bridal veil,30,N/A,[30],N/A
build antennae,N/A,6.67,N/A,"[6, 8, 6]"
bunny ears,157.5,188.53,"[130, 160, 150, 190]","[200, 180, 150, 210, 190, 200, 160, 180, 180, 225, 210, 220, 200, 200, 150, 150, 200]"
burning face,N/A,N/A,N/A,N/A
butterfly hair pin,N/A,N/A,N/A,N/A
candle crown,10,41.5,[10],"[50, 50, 50, 50, 47, 55, 50, 40, 40, 60, 25, 41, 35, 30, 45, 40, 28, 30, 40, 40, 50, 35, 40, 40, 47, 40, 45, 40, 30, 40, 35, 40]"
candy cane elf hat,N/A,N/A,N/A,N/A
carrot on a stick,53.75,67.41,"[50, 50, 50, 65]","[75, 65, 70, 75, 55, 70, 70, 65, 65, 65, 70, 60, 70, 65, 80, 55, 55, 65, 65, 70, 57, 60, 70, 65, 70, 50, 75, 70, 75, 75, 70, 90]"
cartoon glove hat blue,N/A,2,N/A,"[2, 2, 2]"
cartoon glove hat red,N/A,1.5,N/A,"[2, 1]"
carved pumpkin hat,N/A,20,N/A,[20]
cat as a hat,N/A,16,N/A,[16]
celestial halo,34.2,56.95,"[50, 50, 30, 5, 30, 40, 30, 30, 30, 30, 45, 50, 30, 30, 30, 30, 50, 30, 50, 36, 30, 30, 40, 45, 30, 25, 30, 30, 30, 30]","[55, 55, 50, 60, 45, 70, 55, 60, 70, 53, 65, 45, 30, 60, 50, 70, 60, 65, 65, 40, 70, 60]"
challenge crown,937.12,1325.81,"[34, 33, 17, 42, 3650, 3650, 40, 31]","[44, 42, 3250, 4250, 37, 3815, 3750, 39, 41, 20, 3825, 31, 41, 3860, 22, 22, 44, 3850, 34, 33, 34, 34, 42, 3750, 44, 18, 44, 38, 43, 35, 3750, 3900, 43, 23, 38, 3785, 3450, 44, 45, 3850, 34, 20, 21, 41, 34, 21, 45, 5, 4350, 39, 3450, 43, 3585, 3650, 43, 4275, 20, 3525, 4350, 39, 42, 24, 37, 3680, 3666, 39, 3850, 38, 3750, 31]"
chef hat,N/A,N/A,N/A,N/A
chef's cap,N/A,10,N/A,"[10, 10]"
chichen-itza hat,N/A,N/A,N/A,N/A
chinese dragon body,N/A,4.4,N/A,"[3, 4, 4, 4, 7]"
chinese dragon head,25,26.31,[25],"[26, 26, 30, 25, 25, 20, 25, 30, 30, 25, 30, 20, 30]"
chinese dragon tail,8,11,[8],"[12, 10]"
chip-and-dip,32.5,38.43,"[30, 35]","[40, 40, 40, 43, 37, 40, 37, 40, 36, 40, 38, 36, 37, 40, 37, 37, 36, 35, 40, 38, 37, 40, 40]"
coconut crown,N/A,1.67,N/A,"[2, 2, 2, 1, 1, 2, 3, 2, 1, 1, 2, 1]"
comet beanie,1670,1212.26,"[1650, 1680, 1680]","[1750, 1620, 21, 1890, 20, 1950, 17, 17, 17, 1350, 1700, 17, 17, 17, 1750, 1710, 1920, 13, 1650, 1650, 1740, 1750, 17, 1850, 1760, 1750, 1650, 1750, 1700, 1680, 1680, 1750, 1850, 1920, 1730, 14, 1690, 1880, 1880, 1750, 14, 14]"
confetti crown,N/A,2,N/A,"[3, 2, 1, 1, 2, 1, 5, 1, 2]"
conquest's helm,N/A,N/A,N/A,N/A
country riding hat,N/A,N/A,N/A,N/A
country tweed flat cap,30,40.24,[30],"[45, 40, 40, 50, 40, 32, 40, 30, 31, 40, 50, 30, 40, 35, 40, 45, 40, 40, 40, 45, 45, 30, 43, 50, 45]"
cowboy hat,N/A,N/A,N/A,N/A
cracked egg hat,N/A,6,N/A,[6]
cranial lagomorph,440,515.74,"[500, 450, 370]","[500, 480, 500, 560, 560, 570, 500, 525, 510, 520, 520, 460, 485, 470, 500, 540, 540, 490, 510, 495, 500, 505, 480, 500, 550, 520, 480, 580, 580, 520, 520, 500, 550, 515]"
creme crown,10,2,[10],"[2, 2, 2, 2, 2, 2]"
crown of autumn,140,138.45,"[150, 130]","[100, 155, 135, 125, 135, 135, 140, 150, 120, 190, 130, 150, 140, 130, 170, 170, 150, 115, 115, 130, 140, 150, 130, 180, 100, 150, 115, 115, 150]"
crown of duplication,212.5,207.63,"[210, 215]","[250, 250, 230, 230, 190, 240, 230, 220, 220, 210, 200, 200, 200, 190, 235, 210, 228, 228, 270, 220, 220, 220, 170, 220, 220, 200, 210, 240, 220, 190, 205, 220, 240, 210, 175, 185, 185, 215, 220, 200, 200, 210, 215, 200, 230, 230, 205, 180, 200, 170, 205, 230, 210, 220, 250, 200, 170, 210, 220, 205, 170, 200, 210, 210, 210, 225, 160, 180, 180, 210, 190, 230, 220, 220, 230, 200, 235, 190, 165, 220, 220, 190, 210, 200, 170, 200, 220, 180, 210, 210, 190, 170, 210, 220, 200, 195, 200, 195, 175, 175, 190, 220, 200, 190, 230, 170, 170, 200, 200, 210, 220, 210, 240, 195, 210, 210, 200, 250, 230, 210, 180, 225]"
crown of enlightenment,29.33,24.31,"[35, 30, 23]","[20, 40, 45, 27, 25, 12, 40, 45, 20, 15, 45, 25, 20, 20, 25, 15, 25, 35, 35, 18, 21, 15, 17, 15, 25, 25, 27, 20, 25, 6, 15, 18, 20, 30, 25, 20, 20, 21, 21, 40, 24, 18, 20, 20, 35, 27, 20, 25]"
crown of seasons,448.11,663.35,"[470, 5, 510, 650, 610, 470, 700, 6, 640, 680, 670, 5, 620, 470, 610, 6, 630, 620, 630, 600, 660, 490, 610, 6, 500, 630, 650, 630, 6, 620, 610, 490, 650, 510, 660, 6, 630, 460, 650, 670, 6, 6, 660, 540, 450, 620, 640, 6, 660, 470, 620, 6, 610, 530, 620, 6, 6, 6, 470, 6, 630, 475]","[670, 665, 680, 645, 670, 625, 650, 710, 650, 650, 680, 680, 690, 680, 670, 690, 735, 660, 620, 700, 700, 700, 660, 690, 675, 630, 650, 620, 700, 640, 645, 750, 660, 680, 650, 650, 650, 750, 650, 680, 690, 650, 650, 670, 705, 705, 730, 625, 665, 640, 630, 630, 630, 625, 620, 630, 650, 630, 695, 680, 620, 680, 650, 600, 670, 590, 590, 670, 630, 630, 675, 690, 630, 660, 680, 670, 700, 700, 690, 630, 640, 670, 650, 650, 700, 630, 630, 710, 680, 640, 630, 705, 680, 680, 630, 670, 670, 650, 730, 730, 730, 680, 640, 670, 650, 680, 550, 675, 650, 620, 620, 630, 635, 695, 620, 655, 655, 675, 665, 620, 630, 655, 680, 645, 675, 660, 715, 715, 670, 620, 620, 640, 675, 670, 650, 660, 620, 670, 690, 660, 660, 660, 630, 660, 635, 650, 640, 660, 670, 680, 670, 730, 650, 710, 720, 750, 750, 750, 675, 680, 630, 680, 730, 640, 675, 640, 710, 685, 670, 670, 640, 640, 655, 630, 650, 625, 670, 670, 650, 650, 600, 620, 630, 665, 630, 630, 630, 670, 665, 670, 660, 660, 620, 680, 630, 640, 685, 685, 630, 700, 670, 670, 665, 680, 680, 695, 670, 670, 650, 630, 670, 700, 680, 670, 680, 630, 630, 670, 710, 710, 660, 670, 665, 670, 630, 685, 650, 650, 650, 630, 680, 690, 670, 660, 635, 625, 680, 710, 680, 680]"
crown of spring,135,156.9,"[135, 140, 130]","[170, 160, 155, 155, 170, 140, 140, 145, 170, 140, 195, 180, 180, 110, 185, 140, 140, 170, 150, 200, 160, 125, 150, 150, 150, 150, 150, 150, 170]"
crown of summer,N/A,121.45,N/A,"[120, 125, 108, 120, 125, 125, 115, 130, 110, 125, 120, 130, 120, 120, 120, 115, 115, 130, 125, 120, 130, 115, 110, 130, 105, 130, 120, 110, 125, 100, 120, 120, 120, 115, 120, 113, 120, 130, 130, 120, 150, 150]"
crown of the cosmos,335,515.56,"[5, 500, 500]","[500, 500, 510, 525, 510, 520, 510, 505, 505, 528, 510, 520, 530, 528, 550, 525, 530, 520, 495, 538, 535, 505, 520, 525, 520, 510, 515, 500, 500, 500, 520, 510, 510, 500]"
crown of winter,163.33,177.19,"[170, 160, 160]","[225, 135, 130, 230, 140, 160, 200, 160, 160, 210, 210, 160, 310, 130, 120, 220, 220, 220, 160, 170, 120, 180, 170, 170, 170, 127]"
crystal crown,222.15,309.34,"[200, 170, 185, 180, 235, 220, 240, 240, 195, 310, 335, 180, 270, 3, 280, 180, 200, 260, 260, 300]","[300, 340, 310, 300, 300, 330, 330, 310, 240, 295, 350, 300, 300, 305, 310, 360, 255, 255, 320, 320, 350, 350, 305, 340, 310, 290, 290, 350, 370, 300, 310, 310, 300, 295, 300, 300, 315, 350, 240, 293, 305, 320, 315, 300, 290, 300, 325, 305, 238, 305, 310, 330, 330, 340, 340, 300, 300, 290, 300, 300, 350, 310, 320, 294, 300, 300, 310, 300, 310, 340, 240, 300, 295, 330, 290, 320, 310, 300, 310, 310, 320, 330, 293, 260, 295, 290, 345, 345, 310, 300, 300, 305, 310, 295, 325, 320, 310, 310, 294, 240, 294, 294, 310, 310, 300, 295, 320, 300, 320, 340, 320, 295, 306, 320, 300, 350, 300, 300, 340, 300, 300, 320, 300, 300, 350, 350, 310, 320, 320, 310, 300, 300, 315, 310, 250, 310, 300, 310, 295, 310, 300, 325, 250, 310, 345, 345, 300, 310, 310, 320, 330, 330, 330, 300, 294, 320, 290, 310, 300, 300, 310, 350, 350, 300, 325, 320, 305, 300, 300, 300, 285, 300, 295, 280, 300, 305, 305, 300, 230, 285, 300, 295, 315, 315, 330, 315, 330, 330, 330, 350, 350, 300, 300, 300, 320, 285, 315, 330, 360, 300, 325, 300, 310, 340, 250, 310, 310, 320, 320, 350, 330]"
crystal of hoa,99.62,114.78,"[115, 115, 80, 115, 100, 80, 80, 85, 100, 100, 110, 100, 115]","[105, 110, 120, 110, 100, 130, 130, 110, 110, 100, 125, 115, 150, 150, 130, 150, 150, 130, 100, 130, 110, 105, 105, 130, 90, 105, 95, 120, 120, 95, 80, 80, 150, 125, 110, 130, 130, 125, 120, 120, 125, 125, 110, 120, 105, 120, 120, 100, 110, 90, 120, 125, 100, 100, 130, 130, 105, 120, 115, 110, 125, 135, 115, 100, 125, 100, 110, 130, 120, 100, 100, 115, 110, 110, 100, 100, 110, 130, 130, 100, 110, 110, 110, 110, 110, 85, 120, 130, 100, 140, 140, 85, 115, 105, 125, 95, 105, 120, 115, 95, 95, 140, 125, 100, 120, 150, 110, 130, 110, 90, 110, 100, 98, 150, 110, 125, 120, 115, 135, 115, 115, 100, 95, 135, 135, 105, 110, 110, 140, 110, 110, 110, 90, 110, 105, 100, 115, 100, 100, 140, 100, 140, 125, 110]"
cupcake hat,N/A,1.33,N/A,"[1, 1, 2]"
cursed wizard hat,N/A,1,N/A,"[1, 1, 1]"
cute bulb mask,200,213.31,[200],"[240, 200, 185, 185, 200, 230, 193, 220, 220, 250, 250, 200, 200]"
dame's fedora,N/A,0.25,N/A,[0.25]
dancemaster's crown,N/A,91,N/A,"[81, 85, 86, 88, 115]"
dark bunny mask,N/A,13.5,N/A,"[12, 15]"
dark cult hood,N/A,N/A,N/A,N/A
darkening hood,60,72.57,"[60, 60, 70, 50]","[65, 50, 75, 85, 90, 78, 65]"
dashing dolphin hat,N/A,97.5,N/A,"[105, 90]"
demogorgon mask,N/A,2.67,N/A,"[2, 3, 3, 3, 2, 3]"
demon control cap,233.33,249.85,"[220, 240, 240, 230, 250, 220]","[255, 250, 230, 235, 240, 240, 240, 230, 250, 269, 270, 270, 240, 280, 250, 275, 240, 240, 240, 225, 240, 250, 255, 300, 269, 280, 250, 260, 260, 240, 250, 250, 250, 270, 235, 235, 250, 240, 220, 220, 240, 250, 260, 230, 250, 260, 260, 250]"
diamond horn,527.08,643.42,"[490, 460, 590, 620, 450, 570, 480, 625, 390, 620, 480, 550]","[710, 640, 700, 640, 640, 500, 460, 460, 560, 645, 850, 555, 555, 870, 840, 640, 500, 500, 660, 440, 850, 565, 550, 580, 520, 620, 590, 840, 475, 600, 630, 575, 610, 600, 480, 445, 680, 700, 550, 560, 570, 870, 850, 850, 630, 570, 565, 510, 670, 550, 570, 440, 800, 910, 650, 475, 770, 870, 480, 580, 620, 625, 670, 620, 610, 640, 465, 870, 650, 570, 635, 650, 650, 850, 870, 520, 700, 880, 930, 950, 560, 545, 545, 850, 440, 700, 670, 860, 860, 565, 565, 640, 480, 445, 880, 550, 900, 590, 590, 555, 555, 650, 650, 880, 690, 690, 670, 660, 700, 510, 565, 570, 560, 625, 625, 655, 550, 540, 640, 710, 620, 700, 870, 665, 660, 650, 875, 600, 450, 620, 640, 575, 625]"
doctor's blingin' cap,N/A,140,N/A,[140]
dominatus moderateus,N/A,3.41,N/A,"[2, 3, 3, 5, 4, 3, 3, 3, 3, 3, 4, 5, 2, 2, 3, 3, 6, 3, 5, 2, 4, 4]"
doompunk top hat,N/A,1.6,N/A,"[2, 2, 1, 1, 2]"
dragon knight's helm,60,66.76,[60],"[56, 56, 75, 70, 65, 75, 68, 70, 64, 75, 69, 65, 60, 68, 65, 65, 69]"
dried leaf crown,3.14,4.06,"[5, 3, 4, 3, 1, 3, 3]","[4, 4, 5, 3, 5, 4, 4, 5, 5, 3, 3, 4, 5, 5, 5, 3, 5, 4, 5, 4, 4, 4, 3, 6, 5, 4, 3, 4, 4, 4, 5, 3, 4, 4, 4, 4, 4, 3, 4, 3, 4, 3, 3, 4, 3, 5, 5, 4, 3, 4, 3, 5, 5, 5, 3, 5, 3, 4, 4, 5, 4, 4, 4]"
drinks hat,N/A,N/A,N/A,N/A
druid's crown,N/A,5.11,N/A,"[5, 4, 3, 7, 7, 7, 3, 5, 5]"
dumplings hat,81.25,94,"[80, 130, 55, 60]","[120, 68]"
