Name,Buy,Sell,buyPrices,sellPrices
2014 - zodiac year of the horse,N/A,190,N/A,"[160, 200, 170, 200, 200, 200, 200]"
2015 - zodiac year of the goat,N/A,N/A,N/A,N/A
2016 - zodiac year of the monkey,N/A,N/A,N/A,N/A
2017 - zodiac year of the rooster,N/A,N/A,N/A,N/A
2018 - zodiac year of the dog,N/A,281.67,N/A,"[280, 255, 310]"
2019 - zodiac year of the pig,N/A,135.77,N/A,"[140, 120, 150, 140, 140, 140, 140, 140, 140, 140, 125, 140, 110]"
2020 - zodiac year of the rat,N/A,7,N/A,"[12, 2]"
2021 - zodiac year of the ox,N/A,91.27,N/A,"[90, 90, 85, 90, 90, 89, 90, 100, 100, 90, 90]"
absolutely real elephant fish leash,1.62,1.15,"[0.25, 3]","[1, 2, 4, 1, 1, 1, 1, 3, 2, 1, 0.5, 0.5, 1, 0.5, 0.5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.5, 1, 1, 1, 1, 4, 1, 1, 2, 1, 1, 1, 1, 0.5, 1, 1, 0.5, 1, 3, 1, 1, 1, 1, 1, 0.5, 1, 2, 1, 0.5, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.5, 0.5, 1, 0.5, 1, 1, 1, 3, 0.5, 2, 2, 2, 1, 1, 1, 1, 1, 0.5, 1, 1, 3, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 0.5, 1, 1, 1, 1, 1, 1, 1]"
alaskan king crab leash,25,25.57,"[25, 25]","[23, 25, 25, 25, 30, 30, 18, 28, 25, 25, 25, 30, 25, 15, 26, 25, 25, 25, 28, 28, 28, 20, 12, 12, 30, 26, 26, 28, 25, 25, 28, 28, 25, 35, 25, 20, 30, 25, 28, 28, 25, 39]"
alpha great white shark leash,1.75,2.7,"[1, 2, 0.5, 5, 1, 1]","[3, 2, 3, 2, 2, 2, 5, 1, 5, 2, 5, 2, 6, 6, 2, 1, 0.5, 3, 7, 2, 1, 3, 6, 2, 1, 1, 2, 1, 1, 3, 2, 4, 1, 1, 3, 4, 3, 7, 1, 3, 2, 5, 5, 1, 2, 2, 2, 2, 4, 6, 3, 1, 3, 1, 1, 3, 2, 2, 3, 7, 1, 1, 4, 2, 2, 3, 2, 2, 1, 1, 1.2, 2, 1, 2, 1, 1, 0.5, 1, 2, 2, 2, 1, 3, 6, 2, 2, 2, 2, 1, 3, 4, 4, 2, 2, 2, 3, 3, 3, 2, 5, 1, 1, 6, 3, 5, 5, 3, 3, 8, 4, 1, 2, 7, 5, 11, 1, 2, 2, 1, 3, 3, 1, 1, 3, 3, 2, 2, 1, 1, 6, 2, 2]"
alpha wolf,86.69,120.55,"[90, 120, 130, 90, 90, 100, 1, 1, 90, 80, 90, 130, 115]","[155, 150, 150, 100, 90, 165, 150, 100, 170, 135, 145, 170, 100, 140, 145, 145, 1, 90, 125, 125, 80, 110, 95, 160, 135, 110, 100, 97, 105, 95, 115, 115, 110]"
axolotl leash,22.2,32.44,"[25, 20, 20, 23, 23]","[40, 60, 33, 50, 35, 33, 23, 25, 25, 20, 26, 33, 25, 33, 33, 25]"
baby bunny,664.8,1487.3,"[30, 29, 30, 3200, 35]","[3400, 4800, 55, 42, 42, 32, 50, 3130, 3130, 40, 3800, 40, 35, 3050, 50, 4350, 45, 44, 46, 3400, 3250, 3020, 48, 41, 40, 46, 52, 3150, 3150, 3150, 34, 35, 50, 32, 5200, 3000, 48, 3150, 50, 50, 32, 47, 32, 3650, 58, 34, 3150, 3235, 3800, 3150]"
balloon bunny,75.17,98.85,"[1, 90, 90, 90, 90, 90]","[90, 90, 110, 90, 120, 120, 85, 120, 75, 90, 85, 120, 90]"
basic dragons,N/A,5,N/A,[5]
bass leash,1,1,[1],[1]
battle gar,1,2,[1],"[1, 1, 5, 2, 2, 2, 1]"
battle mutant fish,71,78,"[70, 70, 70, 75, 70]","[90, 65, 75, 65, 85, 70, 119, 50, 70, 70, 90, 80, 80, 90, 75, 65, 75, 70, 75, 70, 75, 75, 80, 70, 75, 85, 85, 85, 100, 75, 75, 75, 80, 80, 80, 100, 75, 80, 80, 90, 70, 85, 75, 65, 83, 75, 70, 69, 75, 75, 80, 70, 75, 70, 65, 80, 70, 110, 85, 70, 75, 85, 85, 70, 80, 80, 78, 75, 69, 75, 110, 60, 70, 90, 80, 80]"
betty bluetooth doll,65.83,75.25,"[70, 45, 70, 70, 70, 70]","[80, 80, 78, 85, 70, 80, 80, 70, 80, 70, 65, 65]"
black cat leash,29.85,31.42,"[30, 20, 30, 40, 20, 20, 35, 35, 23, 40, 40, 35, 20]","[40, 25, 75, 45, 45, 20, 50, 30, 25, 40, 30, 27, 45, 40, 35, 42, 45, 45, 35, 28, 28, 30, 40, 45, 45, 25, 2, 40, 9, 35, 35, 25, 20, 30, 20, 20, 25, 45, 45, 40, 30, 30, 24, 24, 30, 26, 45, 45, 25, 23, 23, 30, 20, 30, 7, 48, 26, 25, 25, 25, 23, 30, 45, 40, 40, 25, 25, 20, 28, 30, 25, 27, 20, 45, 45, 25, 25, 25, 28, 40, 25, 45, 40, 45, 32, 35, 43, 45, 30, 25, 30, 40, 25, 45, 25, 25, 45, 45, 45, 25, 20, 20, 45, 43, 32, 55, 11, 25, 20, 25, 24, 25, 28, 50, 50, 35, 25, 45, 40, 25, 25, 27, 27, 27, 27, 28, 45, 25, 40, 50, 28, 28, 25, 28, 24, 30, 37, 23, 23, 50, 50, 45, 45, 40, 25, 50, 32, 25, 25, 25, 25, 28, 28, 28, 40, 35, 40, 20, 25, 25, 28, 20, 20, 35, 20, 20, 25, 25, 50, 30, 35, 35, 30, 25, 35, 20, 30, 30, 26, 45, 27, 13, 30, 40, 33, 33, 30, 26, 40, 50, 30, 20, 25, 35, 25, 20, 20, 28, 6, 30, 25, 42, 35, 28, 28, 25, 30, 25, 30, 5, 26, 26, 25, 28, 45, 26, 50, 50, 30, 25, 30, 30, 25, 30, 40, 25, 30]"
black crystal dragon,128.5,168.11,"[115, 135, 140, 115, 140, 150, 150, 115, 115, 110]","[210, 200, 200, 190, 200, 145, 205, 200, 135, 210, 210, 180, 210, 125, 210, 210, 160, 145, 130, 200, 130, 130, 150, 150, 125, 200, 150, 125, 120, 120, 120, 135, 135, 135, 135, 200, 150, 140, 160, 200, 200, 150, 200, 180, 180, 150, 210, 200, 205, 210, 120, 130, 210, 210, 130, 155, 130, 180, 135, 150, 210, 155, 150, 150, 210, 200]"
blue floaty balloon,N/A,42.5,N/A,"[45, 40]"
bob the gross blob,136.67,220.18,"[198, 2, 210]","[210, 220, 200, 230, 265, 215, 260, 210, 200, 255, 255, 210, 210, 220, 210, 265, 200, 200, 220, 210, 210, 210, 220, 210, 220, 200, 220, 210]"
bride of reanimator remote,35.29,51.48,"[40, 27, 25, 40, 50, 35, 30]","[55, 35, 65, 45, 65, 60, 60, 35, 48, 40, 45, 65, 60, 45, 30, 50, 65, 38, 50, 40, 40, 60, 70, 40, 100, 30, 35, 30, 65, 50, 55, 100, 50, 60, 35, 35, 20, 50, 50, 50, 65, 35, 100, 60, 50, 35, 55, 50]"
brown pet apatoceratops,N/A,N/A,N/A,N/A
brown pet apatodon,N/A,N/A,N/A,N/A
brown pet apatos rex,N/A,N/A,N/A,N/A
brown pet apatosaurus,N/A,1.89,N/A,"[5, 0.3333333333333333, 0.3333333333333333]"
brown pet pteranodon,N/A,N/A,N/A,N/A
brown pet pteranus rex,N/A,20.78,N/A,"[19, 19, 20, 20, 25, 20, 18, 18, 28]"
brown pet pteratops,N/A,N/A,N/A,N/A
brown pet pterosaurus,N/A,7,N/A,"[8, 10, 7, 3]"
brown pet triceradon,N/A,N/A,N/A,N/A
brown pet triceratops,N/A,8,N/A,"[8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]"
brown pet tricerus rex,N/A,N/A,N/A,N/A
brown pet tripatosaurus,N/A,N/A,N/A,N/A
brown pet tyrannosaurus,4,7.5,[4],"[9, 9, 8, 7, 3, 9]"
brown pet tyranodon,N/A,N/A,N/A,N/A
brown pet tyranopatos,N/A,7,N/A,[7]
brown pet tyranotops,N/A,N/A,N/A,N/A
buffalo leash,190.12,277.86,"[200, 210, 6, 6, 180, 240, 320, 300, 260, 4, 250, 250, 300, 210, 300, 6]","[270, 3, 275, 200, 9, 240, 245, 3, 3, 225, 230, 250, 265, 750, 260, 260, 325, 325, 9, 323, 323, 270, 860, 860, 260, 260, 260, 220, 275]"
butterfly leash,1.06,1.95,"[0.5, 1, 1, 1, 1, 2, 1, 1]","[2, 1, 2, 1, 1, 1, 2, 2, 2, 1.4576271186440677, 3, 1, 2, 4, 1, 2, 2, 1, 2, 2, 2, 1, 2, 2, 2, 4, 2, 3, 1, 3, 1, 2, 2, 2, 1, 1, 3, 2, 2, 2, 3, 1.5, 3, 0.75, 1, 1, 1, 1, 1, 2, 2, 2, 3, 2, 2, 2, 1, 1, 3, 3, 2, 3, 2, 2, 3, 1, 2, 2, 1, 2, 2, 1, 3, 2, 1, 2, 2, 3, 3, 2, 3, 1, 2, 0.3333333333333333, 3, 2, 3, 3, 2, 3, 2, 4, 1, 1, 2]"
calf leash,55.5,59.61,"[55, 65, 58, 55, 50, 50]","[80, 78, 70, 50, 2, 50, 60, 65, 65, 55, 75, 65, 70, 70, 3, 65, 75, 75]"
